station,lat(deg),lon(deg),time_start,time_end,height,time_satellite,dist_satellite,height_satellite
4338,46.90448879358208,-10.049496002388063,07.10.2022 17:11:14,07.10.2022 18:00:01,4.1264181963797855,21.825208353996278,2.09971765,3.723
4339,46.17479797500001,-12.180814019999996,08.10.2022 05:59:33,08.10.2022 06:50:16,3.56,nan,nan,nan
4340,45.17244848746667,-13.573513986533335,08.10.2022 17:49:14,08.10.2022 18:43:17,2.868795757063576,3.041722281773885,0.87581263,2.697
4341,43.70075296473683,-14.62972650223684,09.10.2022 06:42:57,09.10.2022 07:43:19,2.184356281604604,nan,nan,nan
4342,42.66611444767124,-15.240300351917805,09.10.2022 15:54:39,09.10.2022 16:53:57,1.9124776879969299,156.94714751243592,1.17975794,1.706
4343,40.82989744647887,-15.075596826056337,10.10.2022 07:11:25,10.10.2022 08:09:35,2.2315102477886404,79.6467293659846,0.90677913,1.863
4344,39.82570646492536,-16.158351733731344,10.10.2022 17:24:13,10.10.2022 18:19:52,2.5724216302255103,100.48333333333333,1.45636452,2.708
4345,38.05262722402985,-16.40502998746269,11.10.2022 06:44:38,11.10.2022 07:40:42,2.3846642514411895,30.5917188167572,0.28429374,2.359
4346,37.39027678825397,-17.81927443428571,11.10.2022 16:50:30,11.10.2022 17:46:09,2.4691169640591197,nan,nan,nan
4347,36.26886469638889,-19.49122027805555,12.10.2022 05:51:57,12.10.2022 06:49:58,2.060883297981285,nan,nan,nan
4348,35.19919949243902,-20.63768228048781,12.10.2022 16:38:11,12.10.2022 17:08:48,1.7152545657451004,nan,nan,nan
4349,33.27843964224999,-21.685278666749998,13.10.2022 07:18:50,13.10.2022 07:49:01,1.4300764899548544,nan,nan,nan
4350,31.933094011063837,-22.23556530489362,13.10.2022 17:28:51,13.10.2022 17:59:14,1.4954718464856922,nan,nan,nan
4351,30.015911198571434,-22.92471120571428,14.10.2022 07:31:31,14.10.2022 08:00:48,1.5070421856262883,75.63250968456268,1.13398836,1.42
4352,28.569572235853663,-23.052496549512192,14.10.2022 17:50:52,14.10.2022 18:21:41,1.5580087182431994,105.25235081513722,1.56521262,1.606
4353,26.6435290927907,-23.100353899069763,15.10.2022 07:09:38,15.10.2022 07:41:00,1.691643756873929,24.418026534716287,1.99257858,2.072
4354,25.195553047173917,-22.884046518478268,15.10.2022 17:16:30,15.10.2022 17:47:31,1.6538785327417467,nan,nan,nan
4355,23.43768114767442,-22.505054266976746,16.10.2022 05:22:14,16.10.2022 05:52:46,1.4108603790340912,137.35814566612243,0.41721043,1.405
4356,22.00324002,-21.942884870000004,16.10.2022 16:54:30,16.10.2022 17:26:11,0.9946287635324721,136.59196540514628,1.87582322,1.208
4357,20.089829453255817,-20.95782925162791,17.10.2022 07:04:33,17.10.2022 07:35:17,1.1717567836585856,nan,nan,nan
4358,10.156811151590908,-20.382871030000004,19.10.2022 17:50:25,19.10.2022 18:20:14,1.32,136.7,1.90546262,1.465
4361,9.372748539411766,-19.802714849607845,20.10.2022 14:49:06,20.10.2022 15:27:34,1.43,nan,nan,nan
4364,7.998797551538461,-18.99518342942308,21.10.2022 15:48:09,21.10.2022 16:22:21,1.91,nan,nan,nan
4366,6.001892758775511,-18.997793537346936,22.10.2022 15:08:16,22.10.2022 15:38:38,1.94,nan,nan,nan
4368,4.500053114791668,-18.99845963208333,23.10.2022 11:51:00,23.10.2022 12:21:00,2.28,41.7,1.30197,2.381
4371,2.997169818770939,-18.997271346367032,24.10.2022 12:05:00,24.10.2022 12:35:00,2.303417,nan,nan,nan
4374,1.4314762839058297,-18.99596596818015,25.10.2022 13:09:11,25.10.2022 13:29:38,2.080404,62.6239,0.6059,2.008
4378,0.002510345452851708,-18.997876892220038,26.10.2022 15:20:43,26.10.2022 15:50:00,2.07567,nan,nan,nan
4392,-0.8726197381394079,-13.458564201750887,04.11.2022 07:24:42,04.11.2022 08:25:23,1.24896,11.2,1.8327,1.34
